Bin	MET	MET	HT	HT	Nj	Nj	Nb	Bkg	bg_err_stat+	bg_err_sys+	bg_err_stat-	bg_err_sys-	Data
128	300	350	1000	Inf.	7	8	2	25.4	3.6	2.4	3.4	2.4	26
129	350	500	500	1000	7	8	2	69.3	5.6	6.1	5.5	6.1	84
130	350	500	1000	Inf.	7	8	2	33.3	4.3	3.	4.2	2.9	35
131	500	750	500	1000	7	8	2	6.	1.9	1.3	1.4	1.3	7
132	500	750	1000	Inf.	7	8	2	12.4	3.4	1.7	3.1	1.7	12
133	750	Inf.	750	1500	7	8	2	1.03	0.91	0.25	0.49	0.23	2
134	750	Inf.	1500	Inf.	7	8	2	1.3	1.2	0.3	0.7	0.3	2
135	300	350	500	1000	7	8	3	24.6	3.2	4.3	3.1	3.7	12
136	300	350	1000	Inf.	7	8	3	13.9	3.2	3.	2.9	2.5	8
137	350	500	500	1000	7	8	3	19.2	3.2	3.3	3.1	3.2	16
138	350	500	1000	Inf.	7	8	3	12.6	2.5	3.	2.2	2.6	8
139	500	750	500	1000	7	8	3	2.34	0.99	0.98	0.41	0.96	3
140	500	750	1000	Inf.	7	8	3	6.7	3.2	1.2	2.7	1.2	4
141	750	Inf.	750	1500	7	8	3	0.3	1.	0.1	0.1	0.1	0
142	750	Inf.	1500	Inf.	7	8	3	0.2	1.2	0.1	0.1	0.1	0
143	300	350	500	1000	9	Inf.	0	15.1	3.8	2.3	3.5	2.2	7
144	300	350	1000	Inf.	9	Inf.	0	15.2	2.7	2.1	2.3	1.9	12
145	350	500	500	1000	9	Inf.	0	8.6	2.3	1.2	1.9	1.1	6
146	350	500	1000	Inf.	9	Inf.	0	17.	2.9	1.9	2.5	1.7	13
147	500	750	500	1000	9	Inf.	0	1.6	1.6	0.5	0.8	0.4	2
148	500	750	1000	Inf.	9	Inf.	0	6.9	2.	0.8	1.5	0.8	11
149	750	Inf.	750	1500	9	Inf.	0	0.	1.1	0.	0.	0.	0
150	750	Inf.	1500	Inf.	9	Inf.	0	0.6	1.1	0.2	0.4	0.2	1
151	300	350	500	1000	9	Inf.	1	13.9	2.8	1.5	2.6	1.6	25
152	300	350	1000	Inf.	9	Inf.	1	17.5	3.	1.8	2.8	1.8	20
